x-axis,1,2,3
second,Volt,Volt,Volt
+66.60000E-03,+943.75002E-03,+625.00000E-03,+318.24994E-03
+66.62000E-03,+1.50625002E+00,+375.00000E-03,+443.24994E-03
+66.64000E-03,+2.10000002E+00,+750.00000E-03,+1.13074994E+00
+66.66000E-03,+2.47500002E+00,+1.46875000E+00,+2.00574994E+00
+66.68000E-03,+2.41250002E+00,+2.28125000E+00,+2.75574994E+00
+66.70000E-03,+2.06875002E+00,+2.78125000E+00,+3.00574994E+00
+66.72000E-03,+1.41250002E+00,+2.78125000E+00,+2.59949994E+00
+66.74000E-03,+881.25002E-03,+2.25000000E+00,+1.78699994E+00
+66.76000E-03,+693.75002E-03,+1.40625000E+00,+880.74994E-03
+66.78000E-03,+943.75002E-03,+687.50000E-03,+380.74994E-03
+66.80000E-03,+1.53750002E+00,+406.25000E-03,+443.24994E-03
+66.82000E-03,+2.13125002E+00,+718.75000E-03,+1.06824994E+00
+66.84000E-03,+2.50625002E+00,+1.43750000E+00,+1.97449994E+00
+66.86000E-03,+2.41250002E+00,+2.28125000E+00,+2.78699994E+00
+66.88000E-03,+1.97500002E+00,+2.78125000E+00,+2.97449994E+00
+66.90000E-03,+1.35000002E+00,+2.75000000E+00,+2.53699994E+00
+66.92000E-03,+818.75002E-03,+2.18750000E+00,+1.69324994E+00
+66.94000E-03,+693.75002E-03,+1.34375000E+00,+818.24994E-03
+66.96000E-03,+1.00625002E+00,+625.00000E-03,+349.49994E-03
+66.98000E-03,+1.63125002E+00,+468.75000E-03,+536.99994E-03
+67.00000E-03,+2.25625002E+00,+875.00000E-03,+1.25574994E+00
+67.02000E-03,+2.50625002E+00,+1.59375000E+00,+2.16199994E+00
+67.04000E-03,+2.35000002E+00,+2.40625000E+00,+2.84949994E+00
+67.06000E-03,+1.75625002E+00,+2.81250000E+00,+2.91199994E+00
+67.08000E-03,+1.16250002E+00,+2.62500000E+00,+2.31824994E+00
+67.10000E-03,+756.25002E-03,+1.96875000E+00,+1.41199994E+00
+67.12000E-03,+756.25002E-03,+1.12500000E+00,+599.49994E-03
+67.14000E-03,+1.22500002E+00,+562.50000E-03,+349.49994E-03
+67.16000E-03,+1.91250002E+00,+531.25000E-03,+724.49994E-03
+67.18000E-03,+2.41250002E+00,+1.06250000E+00,+1.56824994E+00
+67.20000E-03,+2.47500002E+00,+1.90625000E+00,+2.47449994E+00
+67.22000E-03,+2.10000002E+00,+2.59375000E+00,+2.91199994E+00
+67.24000E-03,+1.47500002E+00,+2.78125000E+00,+2.69324994E+00
+67.26000E-03,+881.25002E-03,+2.37500000E+00,+1.97449994E+00
+67.28000E-03,+693.75002E-03,+1.56250000E+00,+1.03699994E+00
+67.30000E-03,+975.00002E-03,+843.75000E-03,+411.99994E-03
+67.32000E-03,+1.60000002E+00,+500.00000E-03,+474.49994E-03
+67.34000E-03,+2.22500002E+00,+781.25000E-03,+1.13074994E+00
+67.36000E-03,+2.53750002E+00,+1.50000000E+00,+2.06824994E+00
+67.38000E-03,+2.28750002E+00,+2.31250000E+00,+2.72449994E+00
+67.40000E-03,+1.75625002E+00,+2.75000000E+00,+2.84949994E+00
+67.42000E-03,+1.03750002E+00,+2.59375000E+00,+2.31824994E+00
+67.44000E-03,+693.75002E-03,+1.93750000E+00,+1.38074994E+00
+67.46000E-03,+850.00002E-03,+1.09375000E+00,+630.74994E-03
+67.48000E-03,+1.38125002E+00,+562.50000E-03,+411.99994E-03
+67.50000E-03,+2.06875002E+00,+625.00000E-03,+849.49994E-03
+67.52000E-03,+2.47500002E+00,+1.21875000E+00,+1.75574994E+00
+67.54000E-03,+2.44375002E+00,+2.09375000E+00,+2.56824994E+00
+67.56000E-03,+1.91250002E+00,+2.65625000E+00,+2.88074994E+00
+67.58000E-03,+1.22500002E+00,+2.65625000E+00,+2.50574994E+00
+67.60000E-03,+756.25002E-03,+2.12500000E+00,+1.63074994E+00
+67.62000E-03,+818.75002E-03,+1.31250000E+00,+786.99994E-03
+67.64000E-03,+1.25625002E+00,+625.00000E-03,+443.24994E-03
+67.66000E-03,+1.97500002E+00,+562.50000E-03,+724.49994E-03
+67.68000E-03,+2.47500002E+00,+1.09375000E+00,+1.53699994E+00
+67.70000E-03,+2.44375002E+00,+1.93750000E+00,+2.44324994E+00
+67.72000E-03,+1.97500002E+00,+2.53125000E+00,+2.84949994E+00
+67.74000E-03,+1.28750002E+00,+2.68750000E+00,+2.56824994E+00
+67.76000E-03,+787.50002E-03,+2.25000000E+00,+1.78699994E+00
+67.78000E-03,+725.00002E-03,+1.40625000E+00,+880.74994E-03
+67.80000E-03,+1.28750002E+00,+750.00000E-03,+443.24994E-03
+67.82000E-03,+1.97500002E+00,+593.75000E-03,+693.24994E-03
+67.84000E-03,+2.47500002E+00,+1.06250000E+00,+1.50574994E+00
+67.86000E-03,+2.44375002E+00,+1.84375000E+00,+2.38074994E+00
+67.88000E-03,+1.94375002E+00,+2.50000000E+00,+2.81824994E+00
+67.90000E-03,+1.25625002E+00,+2.68750000E+00,+2.56824994E+00
+67.92000E-03,+756.25002E-03,+2.18750000E+00,+1.78699994E+00
+67.94000E-03,+787.50002E-03,+1.37500000E+00,+880.74994E-03
+67.96000E-03,+1.28750002E+00,+750.00000E-03,+443.24994E-03
+67.98000E-03,+1.97500002E+00,+625.00000E-03,+755.74994E-03
+68.00000E-03,+2.44375002E+00,+1.09375000E+00,+1.56824994E+00
+68.02000E-03,+2.41250002E+00,+1.90625000E+00,+2.44324994E+00
+68.04000E-03,+1.88125002E+00,+2.56250000E+00,+2.84949994E+00
+68.06000E-03,+1.16250002E+00,+2.62500000E+00,+2.47449994E+00
+68.08000E-03,+693.75002E-03,+2.12500000E+00,+1.66199994E+00
+68.10000E-03,+850.00002E-03,+1.31250000E+00,+786.99994E-03
+68.12000E-03,+1.41250002E+00,+687.50000E-03,+474.49994E-03
+68.14000E-03,+2.13125002E+00,+687.50000E-03,+849.49994E-03
+68.16000E-03,+2.47500002E+00,+1.21875000E+00,+1.72449994E+00
+68.18000E-03,+2.31875002E+00,+2.03125000E+00,+2.50574994E+00
+68.20000E-03,+1.72500002E+00,+2.59375000E+00,+2.78699994E+00
+68.22000E-03,+1.00625002E+00,+2.56250000E+00,+2.34949994E+00
+68.24000E-03,+662.50002E-03,+1.93750000E+00,+1.44324994E+00
+68.26000E-03,+975.00002E-03,+1.12500000E+00,+724.49994E-03
+68.28000E-03,+1.66250002E+00,+687.50000E-03,+536.99994E-03
+68.30000E-03,+2.25625002E+00,+781.25000E-03,+1.13074994E+00
+68.32000E-03,+2.50625002E+00,+1.43750000E+00,+1.97449994E+00
+68.34000E-03,+2.13125002E+00,+2.21875000E+00,+2.66199994E+00
+68.36000E-03,+1.47500002E+00,+2.59375000E+00,+2.66199994E+00
+68.38000E-03,+850.00002E-03,+2.37500000E+00,+2.06824994E+00
+68.40000E-03,+756.25002E-03,+1.68750000E+00,+1.09949994E+00
+68.42000E-03,+1.19375002E+00,+906.25000E-03,+568.24994E-03
+68.44000E-03,+1.94375002E+00,+656.25000E-03,+661.99994E-03
+68.46000E-03,+2.41250002E+00,+1.00000000E+00,+1.44324994E+00
+68.48000E-03,+2.44375002E+00,+1.75000000E+00,+2.31824994E+00
+68.50000E-03,+1.88125002E+00,+2.40625000E+00,+2.72449994E+00
+68.52000E-03,+1.16250002E+00,+2.59375000E+00,+2.44324994E+00
+68.54000E-03,+725.00002E-03,+2.09375000E+00,+1.66199994E+00
+68.56000E-03,+881.25002E-03,+1.31250000E+00,+818.24994E-03
+68.58000E-03,+1.56875002E+00,+750.00000E-03,+568.24994E-03
+68.60000E-03,+2.22500002E+00,+781.25000E-03,+974.49994E-03
+68.62000E-03,+2.47500002E+00,+1.34375000E+00,+1.84949994E+00
+68.64000E-03,+2.16250002E+00,+2.09375000E+00,+2.56824994E+00
+68.66000E-03,+1.47500002E+00,+2.56250000E+00,+2.69324994E+00
+68.68000E-03,+850.00002E-03,+2.37500000E+00,+2.09949994E+00
+68.70000E-03,+725.00002E-03,+1.68750000E+00,+1.16199994E+00
+68.72000E-03,+1.22500002E+00,+968.75000E-03,+599.49994E-03
+68.74000E-03,+2.03750002E+00,+718.75000E-03,+755.74994E-03
+68.76000E-03,+2.47500002E+00,+1.06250000E+00,+1.44324994E+00
+68.78000E-03,+2.38125002E+00,+1.84375000E+00,+2.31824994E+00
+68.80000E-03,+1.75625002E+00,+2.43750000E+00,+2.72449994E+00
+68.82000E-03,+1.03750002E+00,+2.50000000E+00,+2.34949994E+00
+68.84000E-03,+693.75002E-03,+1.96875000E+00,+1.50574994E+00
+68.86000E-03,+1.00625002E+00,+1.21875000E+00,+786.99994E-03
+68.88000E-03,+1.72500002E+00,+750.00000E-03,+599.49994E-03
+68.90000E-03,+2.35000002E+00,+906.25000E-03,+1.19324994E+00
+68.92000E-03,+2.47500002E+00,+1.56250000E+00,+2.09949994E+00
+68.94000E-03,+1.94375002E+00,+2.28125000E+00,+2.63074994E+00
